period_detected,assessment,new_record_nli_id,new_record_url,new_record_heb,new_record_rom,new_record_ara,new_record_wikidata,new_record_viaf,new_record_lccn,new_record_lat_lon,existing_record_nli_id,existing_record_url,existing_record_heb,existing_record_rom,existing_record_ara,existing_record_wikidata,existing_record_viaf,existing_record_lat_lon,kima_place_id,partner_source,distance_km,notes
20250521-20250527,CHECK — different Wikidata IDs (Q671557 vs Q584443): possibly two distinct places,987007567480105171,https://www.nli.org.il/he/authorities/987007567480105171,ברקלי (אנגליה),Brackley (England),براكلي (إنجلترا),Q671557,159555863,n 88208813,"52.032,-1.147",987007567237905171,https://www.nli.org.il/he/authorities/987007567237905171,ברקלי (אנגליה),Berkeley (England),,Q584443,,"51.691,-2.459",77192,local-dump-20250126,97.7,
20260101-20260107,probable duplicate — needs manual confirmation (no comparable identifiers),987013290993605171,https://www.nli.org.il/he/authorities/987013290993605171,מחוז מוהילב (בלארוס),Mahili︠o︡ŭskai︠a︡ voblastsʹ (Belarus),ماهيليوسكايا فوبلاستس (بيلاروس),Q189822,,n  82083481,,987007550425805171,https://www.nli.org.il/he/authorities/987007550425805171,מחוז מוהילב (בלארוס),Mahiliouskaia voblasts (Belarus),,,241864754,"53.7254,30.3863",12624,kima-api,,
20260115-20260121,probable duplicate — needs manual confirmation (no comparable identifiers),987014197239905171,https://www.nli.org.il/he/authorities/987014197239905171,צרפת הדרומית,"France, Southern",جنوب فرنسا,,,sh 85051520,,987007550763305171,https://www.nli.org.il/he/authorities/987007550763305171,צרפת הדרומית,"France, Southern",,Q1237299,172332341,,1398,kima-api,,
20260212-20260218,same place (identical Wikidata ID) — duplicate records,987007473743205171,https://www.nli.org.il/he/authorities/987007473743205171,"אלבאיסין (גרנדה, ספרד)","El Albaicín (Granada, Spain)",إل ألبايسين (غرناطة، إسبانيا),Q576339,,no2002062301,"37.1817,-3.5983",987007542743705171,https://www.nli.org.il/he/authorities/987007542743705171,"אלבאיסין (גרנדה, ספרד)","Albaicín (Granada, Spain)",,Q576339,137376832,"37.1817,-3.5983",19549,kima-api,0.0,
20260212-20260218,probable duplicate — needs manual confirmation (no comparable identifiers),987011060395805171,https://www.nli.org.il/he/authorities/987011060395805171,הוכשטטן (גרמניה),Hochstätten (Germany),هوخشتاتن (ألمانيا),Q561805,,,"49.76583,7.8325",987007467698905171,https://www.nli.org.il/he/authorities/987007467698905171,הוכשטטן (גרמניה),Hochstetten (Germany),,,132877606,,20088,kima-api,,
20260212-20260218,CHECK — different Wikidata IDs (Q588720 vs Q45301): possibly two distinct places,987007469750605171,https://www.nli.org.il/he/authorities/987007469750605171,טרבזון (טורקיה),Ardeşen (Turkey),أرديسن (تركيا),Q588720,240550733,no2002027889,"41.19144,40.98575",987007562581305171,https://www.nli.org.il/he/authorities/987007562581305171,טרבזון (טורקיה),Trabzon (Turkey),,Q45301,124419765,"41.005,39.7225",15404,kima-api,107.9,
20260212-20260218,probable duplicate — needs manual confirmation (no comparable identifiers),987007471773005171,https://www.nli.org.il/he/authorities/987007471773005171,"מושבה היוונית (ירושלים, ישראל)","Moshavah ha-Yevanit (Jerusalem, Israel)",المستعمرة اليونانية (القدس، إسرائيل),Q2916738,151464689,n 2002058317,"31.76129,35.21354",987007477335005171,https://www.nli.org.il/he/authorities/987007477335005171,"מושבה היוונית (ירושלים, ישראל)",,,,,,,feed-history: added 20250409-20250415,,
20260212-20260218,probable duplicate — needs manual confirmation (no comparable identifiers),987007533335605171,https://www.nli.org.il/he/authorities/987007533335605171,מחוז חרקיב (אוקראינה),Kharkivsʹkyĭ raĭon (Ukraine),خاركيفسكي ريون (أوكرانيا),Q2631924,123321979,n 96090564,"49.9925,36.23111",987007562050805171,https://www.nli.org.il/he/authorities/987007562050805171,מחוז חרקיב (אוקראינה),,,,,,,feed-history: added 20250205-20250211,,
20260212-20260218,probable duplicate — needs manual confirmation (no comparable identifiers),987013405241405171,https://www.nli.org.il/he/authorities/987013405241405171,פלאנס (ספרד),Planes (Spain),بلانز (إسبانيا),,,n  78072994,,987007547821005171,https://www.nli.org.il/he/authorities/987007547821005171,פלאנס (ספרד),,,,139536278,,,feed-history: renamed 20251014-20251020,,
20260219-20260225,CHECK — different Wikidata IDs (Q314758 vs Q81423): possibly two distinct places,987007494092005171,https://www.nli.org.il/he/authorities/987007494092005171,אנינגן (גרמניה),Ehningen (Germany),إهينينغن (ألمانيا),Q314758,152774691,no2001062753,,987007557723505171,https://www.nli.org.il/he/authorities/987007557723505171,אנינגן (גרמניה),Eningen unter Achalm (Germany),,Q81423,,"48.483055555556,9.2522222222222",69527,kima-api,,
20260219-20260225,probable duplicate — needs manual confirmation (no comparable identifiers),987007550246505171,https://www.nli.org.il/he/authorities/987007550246505171,בידגושץ' (פולין : מחוז),Bydgoszcz (Poland : Powiat),بيدغوشتش (بولندا : بوفيات),,141875910,n 78084427,,987007552874605171,https://www.nli.org.il/he/authorities/987007552874605171,בידגושץ' (פולין : מחוז),Bydgoszcz (Poland : Voivodeship),,,133697263,"53.1252,18.0079",9307,kima-api,,
20260219-20260225,probable duplicate — needs manual confirmation (no comparable identifiers),987007557599905171,https://www.nli.org.il/he/authorities/987007557599905171,פוטסדם (גרמניה : מחוז),Potsdam (Germany : Stadtkreis),بوتسدام (ألمانيا : شتاتكريس),,125563334,n 85307875,,987007561805305171,https://www.nli.org.il/he/authorities/987007561805305171,פוטסדם (גרמניה : מחוז),Potsdam (Germany : Bezirk),,Q48094,,"52.5,13",87539,local-dump-20250126,,
20260219-20260225,probable duplicate — needs manual confirmation (no comparable identifiers),987007545176905171,https://www.nli.org.il/he/authorities/987007545176905171,צ'רנייב (אוקראינה),Cherniïv (Ukraine),تشيرنييف (أوكرانيا),,157278763,n 97081858,,987007566754005171,https://www.nli.org.il/he/authorities/987007566754005171,צ'רנייב (אוקראינה),Chernihiv (Ukraine),,,146518851,"51.50551,31.28487",9159,kima-api,,
20260219-20260225,probable duplicate — needs manual confirmation (no comparable identifiers),987007566933405171,https://www.nli.org.il/he/authorities/987007566933405171,קוטבוס (גרמניה : מחוז),Cottbus (Germany : Landkreis),كوتبوس (ألمانيا : لاندكرايس),Q1803116,158310741,n  83030335,,987007559894905171,https://www.nli.org.il/he/authorities/987007559894905171,קוטבוס (גרמניה : מחוז),Cottbus (Germany : Bezirk),,,137275437,,15712,kima-api,,
20260430-20260506,probable duplicate — needs manual confirmation (no comparable identifiers),987007494367505171,https://www.nli.org.il/he/authorities/987007494367505171,לובן (גרמניה),Lüben (Germany),لوبن (ألمانيا),,151480578,n 2005069246,,987007473617305171,https://www.nli.org.il/he/authorities/987007473617305171,לובן (גרמניה),Lübben (Germany),,Q584815,,"51.95,13.9",77512,local-dump-20250126,,
20260618-20260624,CHECK — different Wikidata IDs (Q2220850 vs Q168668): possibly two distinct places,987007567782605171,https://www.nli.org.il/he/authorities/987007567782605171,דובריץ' (בולגריה),Dobrich (Bulgaria),دوبريتش (بلغاريا),Q2220850,136180373,n 91076238,"43.567,27.833",987007566710505171,https://www.nli.org.il/he/authorities/987007566710505171,דובריץ' (בולגריה),Tolbukhin (Bulgaria),,Q168668,,"43.562212,27.83189",79349,kima-api,0.5,
20260618-20260624,probable duplicate — needs manual confirmation (no comparable identifiers),987007496754305171,https://www.nli.org.il/he/authorities/987007496754305171,המזרח הרחוק הרוסי (רוסיה),Dalʹnevostochnyĭ federalʹnyĭ okrug (Russia),دالنيفوستوشني الفيدرالية (روسيا),Q41968,124546342,n 2005078845,"48.7,135.2",987007560867505171,https://www.nli.org.il/he/authorities/987007560867505171,המזרח הרחוק הרוסי (רוסיה),Russian Far East (Russia),,,252383801,,2472,kima-api,,
20260618-20260624,probable duplicate — needs manual confirmation (no comparable identifiers),987007550561105171,https://www.nli.org.il/he/authorities/987007550561105171,מחוז צ'רנוביץ (אוקראינה),Chernivet︠s︡ʹka oblastʹ (Ukraine),تشيرنيفيسك أوبلاست (أوكرانيا),Q168856,152381760,n 81150063,,987007566721705171,https://www.nli.org.il/he/authorities/987007566721705171,מחוז צ'רנוביץ (אוקראינה),,,,,,,feed-history: added 20250122-20250128,,
20260618-20260624,same place (identical Wikidata ID) — duplicate records,987012969512605171,https://www.nli.org.il/he/authorities/987012969512605171,סין,China,الصين,Q148,132441531,n 79091151,"35.85816,104.13611",987007550348505171,https://www.nli.org.il/he/authorities/987007550348505171,סין,China,الصين,Q148,132441531,"35.844722222222224,103.45194444444445",7218,kima-api,61.7,
