recordId	period	category	bucket	action	confidence	note	heading	headingHeb	kimaId	kimaRom	kimaHeb	movedKm	nliCoords	kimaCoords	n034	src034	decision	decisionNote	nliWd	kimaWd	sameWd	featureType	featureEvidence	extentKm	nliWdLabel	kimaWdLabel	nliWdCoord	kimaWdCoord	dNliWd_Nli	dNliWd_Kima	dKimaWd_Kima	dKimaWd_Nli	nliWdNameOk	kimaWdNameOk	nliWdSrc	kimaWdSrc	fixedNliCoords	fix034	bboxHalfDiagKm
987007567541105171	20260727-20260727	location-move	homonym	apply-new	medium	"Kima linked to a same-named entity elsewhere: Kima Q729170 ""Bari"" is 3368 km from NLI's self-consistent Q707848 ""Bari"""	Bari (Somalia)	בארי (סומליה)	75344	Bari (Somalia)	בארי (סומליה)	3368.2	[26.63, 77.62]	[10.833333333333, 50.183333333333]	1	gooearth			Q707848	Q729170	False	point	Q707848 P31=city; Q729170 P31=region of Somalia	298.7	Bari	Bari	[26.63, 77.62]	[10.833333333333, 50.183333333333]	0.0	3368.2	0.0	3368.2	True	True	024	WD			0.0
987007561828205171	20260727-20260727	location-move	nli-coords-wrong	keep-existing+report	high	Wikidata Q996914 is 0 km from Kima, 133 km from NLI	Brühl (Baden-Württemberg, Germany)	בריל (באדן-וירטמברג, גרמניה)	87535	Brühl (Baden-Württemberg, Germany)	בריל (באדן-וירטמברג, גרמניה)	133.4	[49.4, 8.53333]	[50.3621, 9.64677]	1	other			Q996914	Q996914	True	point	Q996914 P31=human settlement		Brühl	Brühl	[50.3621, 9.64677]	[50.3621, 9.64677]	133.4	0.0	0.0	133.4	True	True	024	WD			0.0
987007567626905171	20260727-20260727	location-move	extended-feature	apply-new	high	two points on one Q184 P31=sovereign state / unitary state / social state / country / landlocked country (extent ~514 km)	Belarus	בלארוס	17986	Belarus	בלארוס	21.5	[53.0, 28.0]	[53.528333333333, 28.046666666667]	2	geonames|gooearth			Q184	Q184	True	extended	Q184 P31=sovereign state / unitary state / social state / country / landlocked country; Kima LocationTypeId=2; NLI 034 box half-diagonal 417 km	514.1	Belarus	Belarus	[53.528333333333, 28.046666666667]	[53.528333333333, 28.046666666667]	58.8	0.0	0.0	58.8	True	True	024	WD			416.8
987007567629005171	20260727-20260727	location-move	extended-feature	apply-new	high	two points on one Q1004067 P31=bay (extent ~265 km)	Frobisher Bay (N.W.T.)	פרובישר ביי (הטריטוריות הצפון-מערביות)	17951	Frobisher Bay (N.W.T.)	פרובישר ביי (טריטוריה הצפון-מערבית)	138.6	[63.73333, -68.5]	[62.83378, -66.58097]	1	other				Q1004067	False	extended	Q1004067 P31=bay	265.0		Frobisher Bay		[62.833333333333, -66.583333333333]			0.1	138.5		True		geonames:5958389			0.0
987007562760205171	20260727-20260727	location-move	homonym	apply-new	medium	"Kima geonames:2883895 -> Q696820 ""Krina"" is a same-named place 4752 km from the NLI point; NLI heading qualifier disambiguates"	Krina (Mali)	קרינה (מאלי)	16461	Krina (Mali)	קרינה (מאלי)	4751.7	[12.31667, -8.15]	[51.65483, 12.48713]	1	other				Q696820	False	point	Q696820 P31=Ortsteil	4.4		Krina		[51.649722222222, 12.483055555556]			0.6	4751.1		True		geonames:2883895			0.0
987007562276505171	20260727-20260727	location-move	extended-feature	apply-new	medium	two points on one Q1186029 P31=community and regional governments (extent unknown)	Flanders (Belgium)	פלנדריה (בלגיה)	13729	Flanders (Belgium)	פלנדריה (בלגיה)	87.5	[51.0, 3.25]	[51, 4.5]	1	other			Q1186029	Q234	False	extended	Q1186029 P31=community and regional governments; Q234 P31=ethnic territory		Flemish Government	Flanders		[51, 4.5]			0.0	87.5	False	True	024	WD			0.0
987007566857905171	20260727-20260727	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($e 083.607605 -> 083.0607605); corrected centre is 2.2 km from Kima	Vārānasi (Uttar Pradesh, India)	ורנאסי (אוטר פראדש, הודו)	10817	Vārānasi (Uttar Pradesh, India)	ורנאסי (אוטאר פראדש, הודו)	25.3	[25.32076, 83.26453]	[25.318888888889, 83.012777777778]	1	gooearth			Q79980	Q79980	True	point	Q79980 P31=city / holy city	10.2	Varanasi	Varanasi	[25.318888888889, 83.012777777778]	[25.318888888889, 83.012777777778]	25.3	0.0	0.0	25.3	True	True	024	WD	[25.32076, 82.99111]	$e 083.607605 -> 083.0607605	35.5
987007566859705171	20260727-20260727	location-move	extended-feature	apply-new	high	two points on one Q54955 P31=province of Spain (extent ~137 km)	Teruel (Spain : Province)	טרואל (ספרד : פרובינציה)	10842	Teruel (Spain : Province)	טרואל (ספרד : פרובינציה)	45.3	[40.66667, -0.66667]	[40.4667, -1.1333]	1	gooearth			Q54955	Q163303	False	extended	Q54955 P31=province of Spain; Q163303 P31=comarca of Aragon; Kima LocationTypeId=2	137.3	Teruel Province	Teruel Community	[40.666666666667, -0.66666666666667]	[40.4667, -1.1333]	0.0	45.3	0.0	45.3	True	True	024	WD			0.0
987007562098805171	20260727-20260727	location-move	no-wd	research	low	no Wikidata id on either side	Lewiston (N.Y.)	לויסטון (ניו יורק)	14688	Lewiston (N.Y.)	לויסטון (ניו יורק)	1690.8	[43.1725, -79.03583]	[30.94129, -90.42232]	1	geonames					False																		0.0
987007562086705171	20260727-20260727	location-move	nli-034-dropped-zero	keep-existing+report	high	NLI 034 fraction lost a leading 0 ($f 009.856549 -> 009.0856549); corrected centre is 8.4 km from Kima	Addis Ababa (Ethiopia)	אדיס אבבה (אתיופיה)	7917	Addis Ababa (Ethiopia)	אדיס אבבה (אתיופיה)	36.0	[9.34862, 38.77814]	[9.0272222222222, 38.736944444444]	1	gooearth			Q3624	Q3624	True	point	Q3624 P31=region of Ethiopia / federal capital / human settlement / city	25.9	Addis Ababa	Addis Ababa	[9.035833333333333, 38.7525]	[9.035833333333333, 38.7525]	34.9	2.0	2.0	34.9	True	True	024	WD	[8.96318, 38.77814]	$f 009.856549 -> 009.0856549	58.0
