bucket	action	confidence	note	suggestA	suggestB	bothInKima	kimaHolderOfA	recordId	category	verdict	heading	dupKey	aRoman	aHeb	aWd	aWdLabel	aWdHe	aP31	aCoords	bId	bRoman	bHeb	bWd	bWdLabel	bP31	bCoords	bStatus	kimaId	kimaHeb	kimaRom	kimaWd	distanceKm	earlierHeadings
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 12624 -> 987007550425805171 is suppressed in NLI; successor is 987013290993605171 ""Mahili︠o︡ŭskai︠a︡ voblastsʹ (Belarus)"""			False		987013290993605171	dup-places-diff	kima-id-suppressed	מחוז מוהילב (בלארוס)	מחוז מוהילב (בלארוס)	Mahili︠o︡ŭskai︠a︡ voblastsʹ (Belarus)	מחוז מוהילב (בלארוס)	Q189822	Mahilyow Region	מחוז מוהילב	region of Belarus	[54.0, 30.75]	987007550425805171	Mahiliouskaia voblasts (Belarus)	מחוז מוהילב (בלארוס)					suppressed	12624	מחוז מוהילב (בלארוס)	Mahiliouskaia voblasts (Belarus)		38.7	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90633 ""ליברץ (צ'כיה: מחוז)"" and B as 13601 ""ליברץ (צ'כיה)""; NLI's flat Hebrew ""ליברץ (צ'כיה)"" only needs to stay a variant of A"	ליברץ (צ'כיה: מחוז)	ליברץ (צ'כיה)	True	"90633 ""ליברץ (צ'כיה: מחוז)"""	987007480110605171	dup-places-diff	both-live	ליברץ (צ'כיה)	ליברץ (צ'כיה)	Liberecký kraj (Czech Republic)	ליברץ (צ'כיה)	Q193266	Liberec Region	ליברץ	region of the Czech Republic	[50.7, 15.0]	987007567064405171	Liberec (Czech Republic)	ליברץ (צ'כיה)	Q146351	Liberec	municipality with town privileges in the Czech Republic / statutory city in the Czech Republic / capital of region / district town / municipality of the Czech Republic / municipality with authorized municipal office / big city / Czech municipality with expanded powers	[50.77, 15.05845]	live	13601	ליברץ (צ'כיה)	Liberec (Czech Republic)	Q146351	8.2	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90621 ""זלין (צ'כיה:מחוז)"" and B as 90680 ""זלין (צ'כיה)""; NLI's flat Hebrew ""זלין (צ'כיה)"" only needs to stay a variant of A"	זלין (צ'כיה:מחוז)	זלין (צ'כיה)	True	"90621 ""זלין (צ'כיה:מחוז)"""	987007479992705171	dup-places-diff	both-live	זלין (צ'כיה)	זלין (צ'כיה)	Zlínský kraj (Czech Republic)	זלין (צ'כיה)	Q192536	Zlín Region	זלין	region of the Czech Republic	[49.2, 17.7]	987007530957905171	Zlín (Czech Republic)	זלין (צ'כיה)	Q171018	Zlín	statutory city in the Czech Republic / municipality with town privileges in the Czech Republic / municipality of the Czech Republic / capital of region / district town / municipality with authorized municipal office / Czech municipality with expanded powers	[49.23306, 17.66694]	live	90680	זלין (צ'כיה)	Zlín (Czech Republic)		4.4	
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 1398 -> 987007550763305171 is suppressed in NLI; successor is 987014197239905171 ""France, Southern"""			False		987014197239905171	dup-places-diff	kima-id-suppressed	צרפת הדרומית	צרפת הדרומית	France, Southern	צרפת הדרומית					[44.0, 3.75]	987007550763305171	France, Southern	צרפת הדרומית					suppressed	1398	צרפת הדרומית	France, Southern	Q1237299		
heading-drift	update-kima-heading	high	"Kima 9219 already holds this id under ""נורקופינג (שבדיה)""; NLI now says ""נורקופינג (שוודיה)"" — no second record involved"					987007566722805171	dup-variants	kima-unresolved	נורקופינג (שוודיה)	נורקופינג (שוודיה), Norrköping	Norrköping (Sweden)	נורקופינג (שוודיה)	Q25724	Norrköping	נורשפין	urban area in Sweden	[58.57933, 16.14932]									9219	נורקופינג (שבדיה)	Norrköping (Sweden)	Q25724	0.0	
heading-drift	update-kima-heading	high	"Kima 17457 already holds this id under ""קרוז אלטה (ברזיל)""; NLI now says ""קרוז אלטה (ריו גרנדה דו סול, ברזיל)"" — no second record involved"					987007533095205171	dup-variants	kima-unresolved	קרוז אלטה (ריו גרנדה דו סול, ברזיל)	קרוז אלטה (ריו גרנדה דו סול, ברזיל), Vila do Divino Espírito Santo da Cruz Alta	Cruz Alta (Rio Grande do Sul, Brazil)	קרוז אלטה (ריו גרנדה דו סול, ברזיל)	Q985966	Cruz Alta		municipality of Brazil / locality	[-28.63861, -53.60639]									17457	קרוז אלטה (ברזיל)	Cruz Alta (Rio Grande do Sul, Brazil)	Q985966	0.0	
heading-drift	update-kima-heading	high	"Kima 14959 already holds this id under ""מאסינה""; NLI now says ""מאסינה (אימפריה)"" — no second record involved"					987007557670205171	dup-variants	kima-unresolved	מאסינה (אימפריה)	מאסינה (אימפריה), Caliphate of Hamdullāhi	Macina (Empire)	מאסינה (אימפריה)	Q18474422	Macina		frazione	[45.47069, 10.32035]									14959	מאסינה	Macina	Q18474422	0.0	
heading-drift	update-kima-heading	high	"Kima 2436 already holds this id under ""קונוס הדרומי של דרום אמריקה""; NLI now says ""קונוס הדרומי של אמריקה הדרומית"" — no second record involved"					987007560967705171	dup-variants	kima-unresolved	קונוס הדרומי של אמריקה הדרומית	קונוס הדרומי של אמריקה הדרומית, Cono Sur de América	Southern Cone of South America	קונוס הדרומי של אמריקה הדרומית	Q236118	Southern Cone	דרום החרוט	region	[-39.1, -67.9]									2436	קונוס הדרומי של דרום אמריקה	Southern Cone of South America		0.0	
heading-drift	update-kima-heading	high	"Kima 12489 already holds this id under ""וונגן אם אלגוו (גרמניה)""; NLI now says ""וונגן אים אלגוו (גרמניה)"" — no second record involved"					987007552698605171	dup-variants	kima-unresolved	וונגן אים אלגוו (גרמניה)	וונגן אים אלגוו (גרמניה), Wangen im Allgäu	Wangen im Allgäu (Germany)	וונגן אים אלגוו (גרמניה)	Q165015	Wangen im Allgäu		urban municipality in Germany / Greater district town in Baden-Württemberg / small city / medium regional center	[47.68835, 9.81281]									12489	וונגן אם אלגוו (גרמניה)	Wangen im Allgäu (Germany)	Q165015	1.6	
distinct-homonym	disambiguate-hebrew-spelling	high	"different places with one Hebrew form: ""Ardeşen (Turkey)"" (Q588720 Ardeşen) / ""Trabzon (Turkey)"" (Q45301 Trabzon), 107.9 km"			False		987007469750605171	dup-places-diff	both-live	טרבזון (טורקיה)	טרבזון (טורקיה)	Ardeşen (Turkey)	טרבזון (טורקיה)	Q588720	Ardeşen		town	[41.19144, 40.98575]	987007562581305171	Trabzon (Turkey)	טרבזון (טורקיה)	Q45301	Trabzon	metropolitan municipality in Turkey / big city / city	[41.04861, 39.73126]	live	15404	טרבזון (טורקיה)	Trabzon (Turkey)	Q45301	107.9	
