bucket	action	confidence	note	suggestA	suggestB	bothInKima	kimaHolderOfA	recordId	category	verdict	heading	dupKey	aRoman	aHeb	aWd	aWdLabel	aWdHe	aP31	aCoords	bId	bRoman	bHeb	bWd	bWdLabel	bP31	bCoords	bStatus	kimaId	kimaHeb	kimaRom	kimaWd	distanceKm	earlierHeadings
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 1069 ""אלבה (אי, איטליה)"" and B as 6326 ""אלבה (איטליה)""; NLI's flat Hebrew ""אלבה (איטליה)"" only needs to stay a variant of A"	אלבה (אי, איטליה)	אלבה (איטליה)	True	"1069 ""אלבה (אי, איטליה)"""	987007533395005171	dup-places-diff	both-live	אלבה (איטליה)	אלבה (איטליה)	Elba (Italy)	אלבה (איטליה)	Q45328	Elba	אלבה	island	[42.78, 10.275]	987007554793005171	Alba (Italy)	אלבה (איטליה)	Q18341	Alba	comune of Italy	[44.7, 8.03472]	live	6326	אלבה (איטליה)	Alba (Italy)	Q18341	279.0	
heading-drift	update-kima-heading	high	"Kima 8054 already holds this id under ""לה קורונה (ספרד)""; NLI now says ""לה קורוניה (ספרד)"" — no second record involved"					987007548042705171	dup-variants	kima-unresolved	לה קורוניה (ספרד)	לה קורוניה (ספרד), Coruña	La Coruña (Spain)	לה קורוניה (ספרד)	Q8757	A Coruña	לה קורוניה	municipality of Galicia	[43.37139, -8.39611]									8054	לה קורונה (ספרד)	La Coruña (Spain)	Q8757	1.2	
heading-drift	update-kima-heading	high	"Kima 3769 already holds this id under ""נהר פאראנה (ברזיל, ארגנטינה)""; NLI now says ""נהר פרנה (ברזיל-ארגנטינה)"" — no second record involved"					987007539018705171	dup-variants	kima-unresolved	נהר פרנה (ברזיל-ארגנטינה)	נהר פרנה (ברזיל-ארגנטינה), Alto Paraná River	Paraná River (Brazil-Argentina)	נהר פרנה (ברזיל-ארגנטינה)	Q127892	Paraná River	פרנה	river / transboundary river	[-33.71667, -59.25]									3769	נהר פאראנה (ברזיל, ארגנטינה)	Paraná River (Brazil-Argentina)	Q127892	1720.7	
heading-drift	update-kima-heading	high	"Kima 90657 already holds this id under ""אסן (חרונינגן, הולנד)""; NLI now says ""אסן (הולנד)"" — no second record involved"					987007524777605171	dup-places	kima-unresolved	אסן (הולנד)	אסן (הולנד)	Essen (Netherlands)	אסן (הולנד)					[53.13959, 6.54895]									90657	אסן (חרונינגן, הולנד)	Essen (Netherlands)		23.4	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90655 ""בוביניי (איל דה פרנס, צרפת)"" and B as 90698 ""בוביניי (צרפת)""; NLI's flat Hebrew ""בוביניי (צרפת)"" only needs to stay a variant of A"	בוביניי (איל דה פרנס, צרפת)	בוביניי (צרפת)	True	"90655 ""בוביניי (איל דה פרנס, צרפת)"""	987007557862005171	dup-places-diff	both-live	בוביניי (צרפת)	בוביניי (צרפת)	Bobigny (France)	בוביניי (צרפת)	Q154724	Bobigny	בוביני	commune of France	[48.90972, 2.43861]	987007550500105171	Bouvignies (France)	בוביניי (צרפת)				[50.43333, 3.25]	live	90698	בוביניי (צרפת)	Bouvignies (France)		0.0	
heading-drift	update-kima-heading	high	"Kima 15479 already holds this id under ""שוואבן (בוואריה, גרמניה)""; NLI now says ""שוואבן (גרמניה : מחוז)"" — no second record involved"					987007564848605171	dup-places	kima-unresolved	שוואבן (גרמניה : מחוז)	שוואבן (גרמניה : מחוז)	Bayerisch-Schwaben (Germany : Regierungsbezirk)	שוואבן (גרמניה : מחוז)	Q10557	Swabia	שוואביה	Regierungsbezirk / regional district in Bavaria	[48.5, 10.5]									15479	שוואבן (בוואריה, גרמניה)	Bayerisch-Schwaben (Germany : Regierungsbezirk)	Q10557	0.0	
heading-drift	update-kima-heading	high	"Kima 9397 already holds this id under ""ריו דה לה פלטה (מחוז)""; NLI now says ""ריו דה לה פלטה (מלכות משנה)"" — no second record involved"					987007550543905171	dup-variants	kima-unresolved	ריו דה לה פלטה (מלכות משנה)	ריו דה לה פלטה (מלכות משנה), Virreinato del Río de la Plata	Río de la Plata (Viceroyalty)	ריו דה לה פלטה (מלכות משנה)	Q210551	Viceroyalty of the Río de la Plata	מלכות המשנה של ריו דה לה פלטה	viceroyalty of the Spanish Empire	[-34.66667, -58.4]									9397	ריו דה לה פלטה (מחוז)	Río de la Plata (Viceroyalty)		155.9	
distinct-homonym	disambiguate-hebrew-region	medium	"same name, different places 170.0 km apart: ""Lüben (Germany)"" (None) / ""Lübben (Germany)"" (Lübben (Spreewald))"			False		987007494367505171	dup-places-diff	both-live	לובן (גרמניה)	לובן (גרמניה)	Lüben (Germany)	לובן (גרמניה)					[51.4, 16.2]	987007473617305171	Lübben (Germany)	לובן (גרמניה)	Q584815	Lübben (Spreewald)	urban municipality in Germany / district capital	[51.95, 13.9]	live	77512	לובן (גרמניה)	Lübben (Germany)	Q584815	170.0	
heading-drift	update-kima-heading	high	"Kima 8198 already holds this id under ""קניה (מדינה)""; NLI now says ""קניה"" — no second record involved"					987007548045205171	dup-variants	kima-unresolved	קניה	קניה, Kīnyā	Kenya	קניה	Q114	Kenya	קניה	sovereign state / country	[1.0, 38.0]									8198	קניה (מדינה)	Kenya	Q114	100.1	East Africa Protectorate
heading-drift	update-kima-heading	high	"Kima 11640 already holds this id under ""גרליץ (דרזדן, גרמניה)""; NLI now says ""גורליץ (גורליץ, גרמניה)"" — no second record involved"					987007557305105171	dup-variants	kima-unresolved	גורליץ (גורליץ, גרמניה)	גורליץ (גורליץ, גרמניה), Görlitz	Görlitz (Görlitz, Germany)	גורליץ (גורליץ, גרמניה)	Q4077	Görlitz	גרליץ	Greater district town / European City / urban municipality in Germany / border city / town divided by border / district capital	[51.37647, 15.04609]									11640	גרליץ (דרזדן, גרמניה)	Görlitz (Dresden, Germany)	Q4077	25.2	
unresolved	research	low	no Kima place owns the heading or holds the id					987007478060905171	dup-variants	kima-unresolved	דאליין שי (סין)	דאליין שי (סין), Da lian (Liaoning Sheng, China)	Dalian Shi (China)	דאליין שי (סין)					[38.92889, 121.65222]														
unresolved	research	low	no Kima place owns the heading or holds the id					987007566976405171	dup-variants	kima-unresolved	בוהמיה (ממלכה)	בוהמיה (ממלכה), Bohemia	Bohemia (Kingdom)	בוהמיה (ממלכה)	Q686971	Lands of the Bohemian Crown	כתר בוהמיה	historical country / realm / state in the Holy Roman Empire	[50.08333, 14.41667]														
heading-drift	update-kima-heading	high	"Kima 7820 already holds this id under ""ריוניון""; NLI now says ""ראוניון"" — no second record involved"					987007547798105171	dup-variants	kima-unresolved	ראוניון	ראוניון, Département de la Réunion	Réunion	ראוניון	Q17070	Réunion	ראוניון	region of France / overseas department and region of France / dependent territory	[-21.11444, 55.5325]									7820	ריוניון	Réunion	Q17070	0.0	
distinct-homonym	disambiguate-hebrew-spelling	medium	"different places with one Hebrew form: ""Dalʹnevostochnyĭ federalʹnyĭ okrug (Russia)"" (Q41968 Far Eastern Federal District) / ""Russian Far East (Russia)"" (None None), None km"			False		987007496754305171	dup-places-diff	both-live	המזרח הרחוק הרוסי (רוסיה)	המזרח הרחוק הרוסי (רוסיה)	Dalʹnevostochnyĭ federalʹnyĭ okrug (Russia)	המזרח הרחוק הרוסי (רוסיה)	Q41968	Far Eastern Federal District	המזרח הרחוק הרוסי	federal district of Russia	[48.7, 135.2]	987007560867505171	Russian Far East (Russia)	המזרח הרחוק הרוסי (רוסיה)					live	2472	המזרח הרחוק הרוסי (רוסיה)	Russian Far East (Russia)			
unresolved	research	low	no Kima place owns the heading or holds the id					987007535752205171	dup-variants	kima-unresolved	טשביץ' (פולין)	טשביץ' (פולין), Trebisch (Poland)	Trzebicz (Poland)	טשביץ' (פולין)	Q1677609	Trzebicz, Lubusz Voivodeship		village of Poland	[52.81667, 15.75]														
same-entity	report-nli-duplicate	medium	"different Roman names but WD entities co-located: Q2220850 ""Dobrich"" / Q168668 ""Dobrich"""			False		987007567782605171	dup-places-diff	both-live	דובריץ' (בולגריה)	דובריץ' (בולגריה)	Dobrich (Bulgaria)	דובריץ' (בולגריה)	Q2220850	Dobrich		municipality of Bulgaria	[43.567, 27.833]	987007566710505171	Tolbukhin (Bulgaria)	דובריץ' (בולגריה)	Q168668	Dobrich	municipality seat / oblast seat / city in Bulgaria / average city	[43.56667, 27.83333]	live	79349	דובריץ' (בולגריה)	Tolbukhin (Bulgaria)	Q168668	0.5	
kima-id-suppressed	repoint-kima-to-incoming	high	"Kima 7218 -> 987007550348505171 is suppressed in NLI; successor is 987012969512605171 ""China"""			False		987012969512605171	dup-places-diff	kima-id-suppressed	סין	סין	China	סין	Q148	People's Republic of China	הרפובליקה העממית של סין	sovereign state / socialist state / secular state / constitutional republic / people's republic / dictatorship of the proletariat / communist state / country / great power / state with limited recognition	[35.85816, 104.13611]	987007550348505171	China	סין					suppressed	7218	סין	China	Q148	61.7	
heading-drift	update-kima-heading	high	"Kima 18614 already holds this id under ""ויטנם (רפובליקה)""; NLI now says ""וייטנאם (רפובליקה)"" — no second record involved"					987007535664705171	dup-variants	kima-unresolved	וייטנאם (רפובליקה)	וייטנאם (רפובליקה), République du Viet Nam	Vietnam (Republic)	וייטנאם (רפובליקה)	Q180573	South Vietnam	דרום וייטנאם	sovereign state / historical country / country	[10.77694, 106.69528]									18614	ויטנם (רפובליקה)	Vietnam (Republic)		0.0	
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90629 ""ולורה (אלבניה:עיריה)"" and B as 17345 ""ולורה (אלבניה)""; NLI's flat Hebrew ""ולורה (אלבניה)"" only needs to stay a variant of A"	ולורה (אלבניה:עיריה)	ולורה (אלבניה)	True	"90629 ""ולורה (אלבניה:עיריה)"""	987007475702205171	dup-places-diff	both-live	ולורה (אלבניה)	ולורה (אלבניה)	Bashkia e Vlorës (Albania)	ולורה (אלבניה)	Q16350151	Vlorë municipality	ולורה	municipality of Albania	[40.46667, 19.48333]	987007537834005171	Vlorë (Albania)	ולורה (אלבניה)	Q159610	Vlorë	city / average city / human settlement	[40.45081, 19.48151]	live	17345	ולורה (אלבניה)	Vlorë (Albania)	Q159610	1.9	
heading-drift	update-kima-heading	high	"Kima 19742 already holds this id under ""הרובע הלטיני (פריס, צרפת)""; NLI now says ""הרובע הלטיני (פריז, צרפת)"" — no second record involved"					987007542764605171	dup-variants	kima-unresolved	הרובע הלטיני (פריז, צרפת)	הרובע הלטיני (פריז, צרפת), Latin quarter (Paris, France)	Quartier latin (Paris, France)	הרובע הלטיני (פריז, צרפת)	Q321621	Latin Quarter	הרובע הלטיני	neighborhood	[48.85142, 2.34317]									19742	הרובע הלטיני (פריס, צרפת)	Quartier latin (Paris, France)	Q321621	0.2	
heading-drift	update-kima-heading	high	"Kima 14595 already holds this id under ""בורקינה פסו""; NLI now says ""בורקינה פאסו"" — no second record involved"					987007564754305171	dup-variants	kima-unresolved	בורקינה פאסו	בורקינה פאסו, République démocratique du Burkina Faso	Burkina Faso	בורקינה פאסו	Q965	Burkina Faso	בורקינה פאסו	sovereign state / landlocked country / country	[12.26667, -2.06667]									14595	בורקינה פסו	Burkina Faso	Q965	0.0	Upper Volta
unresolved	research	low	no Kima place owns the heading or holds the id					987007550561105171	dup-places	kima-unresolved	מחוז צ'רנוביץ (אוקראינה)	מחוז צ'רנוביץ (אוקראינה)	Chernivet︠s︡ʹka oblastʹ (Ukraine)	מחוז צ'רנוביץ (אוקראינה)	Q168856	Chernivtsi Oblast	מחוז צ'רנוביץ	oblast of Ukraine	[48.25, 26.0]														
heading-drift	update-kima-heading	high	"Kima 9452 already holds this id under ""ויטוריאה (ברזיל)""; NLI now says ""ויטוריאה (אספיריטו סנטו, ברזיל)"" — no second record involved"					987007552782005171	dup-variants	kima-unresolved	ויטוריאה (אספיריטו סנטו, ברזיל)	ויטוריאה (אספיריטו סנטו, ברזיל), Prefeitura Municipal de Vitória	Vitória (Espírito Santo, Brazil)	ויטוריאה (אספיריטו סנטו, ברזיל)	Q168376	Vitória	ויטוריה	municipality of Brazil / big city	[-20.31056, -40.29722]									9452	ויטוריאה (ברזיל)	Vitória (Espírito Santo, Brazil)		0.0	
heading-drift	update-kima-heading	high	"Kima 11954 already holds this id under ""מאיוט""; NLI now says ""מיוט"" — no second record involved"					987007566831305171	dup-variants	kima-unresolved	מיוט	מיוט, Collectivité territoriale de Mayotte	Mayotte	מיוט	Q17063	Mayotte	מיוט	disputed territory / overseas department and region of France / region of France / overseas collectivity of France	[-12.84306, 45.13833]									11954	מאיוט	Mayotte		0.0	
heading-drift	update-kima-heading	high	"Kima 12678 already holds this id under ""גלפגוס, איים""; NLI now says ""איי גלפגוס"" — no second record involved"					987007566814705171	dup-variants	kima-unresolved	איי גלפגוס	איי גלפגוס, Archipiélago de Colón	Galapagos Islands	איי גלפגוס	Q38095	Galapagos Islands	איי גלאפגוס	archipelago / WWF ecoregion	[-0.66667, -90.55]									12678	גלפגוס, איים	Galapagos Islands	Q38095	0.0	
heading-drift	update-kima-heading	high	"Kima 17374 already holds this id under ""אריתראה""; NLI now says ""אריתריאה"" — no second record involved"					987007535457305171	dup-variants	kima-unresolved	אריתריאה	אריתריאה, ʾÉretrā	Eritrea	אריתריאה	Q986	Eritrea	אריתריאה	sovereign state / country	[15.48333, 38.25]									17374	אריתראה	Eritrea	Q986	0.0	Eritrea (Ethiopia)
already-disambiguated-in-kima	keep-kima-headings+variant	high	"Kima already holds A as 90692 ""אוש (קירגיזסטן:אובלסט)"" and B as 14806 ""אוש (קירגיזסטן)""; NLI's flat Hebrew ""אוש (קירגיזסטן)"" only needs to stay a variant of A"	אוש (קירגיזסטן:אובלסט)	אוש (קירגיזסטן)	True	"90692 ""אוש (קירגיזסטן:אובלסט)"""	987007562059705171	dup-places-diff	both-live	אוש (קירגיזסטן)	אוש (קירגיזסטן)	Osh oblasty (Kyrgyzstan)	אוש (קירגיזסטן)	Q231987	Osh Region	אוש	region of Kyrgyzstan	[40.0, 73.0]	987007557660205171	Osh (Kyrgyzstan)	אוש (קירגיזסטן)	Q47282	Osh	city / first-level administrative division / border city / big city	[40.53333, 72.78333]	live	14806	אוש (קירגיזסטן)	Osh (Kyrgyzstan)	Q47282	62.1	
